,FMA,-,REVALUATION,RATES,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,8-Jan-24,,,,
,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,,
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,,
0-7days,21.8,21.8,21.4,0,21.9,21.9,21.9,21.9,21.86,,
,,,,,,,,,,,
8-15days,21.1,21.7,21.3,0,21.95,21.4,22,21.95,21.66,,
16-30days,21.05,21.05,21.15,0,21.05,21.1,21.05,21.05,21.06,,
31-60days,21.05,21.1,21.1,0,21,21.1,21.05,21,21.06,,
61-90days,21,21.1,21.05,0,20.95,20.95,21,20.9,20.99,,
,,,,,,,,,,,
91-120days,21.2,21.2,21.2,0,21.1,21.1,21.15,21.1,21.15,,
121-180days,21.25,21.25,21.25,0,21.25,21.25,21.25,21.2,21.25,,
181-270days,21.25,21.23,21.2,0,21.25,21.25,21.25,21.2,21.24,,
271-365days,21.2,21.2,21.2,0,21.25,21.17,21.2,21.22,21.2,,
,,,,,,,,,,,
2years,18.05,18,18.25,0,18.25,17.9,18.15,18.25,18.14,,
3years,17,16.5,16.6,0,16.5,16.45,16.5,16.55,16.53,,
4years,16.65,16.2,16.2,0,16.35,16.25,16.3,16.3,16.28,,
5years,16.25,16,15.85,0,16.15,16.05,16.1,16.1,16.08,,
,,,,,,,,,,,
6years,15.8,15.5,15.5,0,15.65,15.5,15.55,15.6,15.56,,
7years,15.7,15.35,15.4,0,15.3,15.35,15.35,15.25,15.35,,
8years,15.6,15.15,15.2,0,15.2,15.2,15.2,15.15,15.19,,
9years,15.5,15.1,15.1,0,14.85,15.05,15.05,14.85,15.03,,
,,,,,,,,,,,
10years,15.2,14.9,14.9,0,14.8,14.9,14.9,14.75,14.88,,
15years,15.1,14.5,14.85,0,14.5,14.7,14.65,14.55,14.65,,
20years,15,14.5,14.8,0,14.5,14.7,14.65,14.55,14.64,,
