10:07,27-Jul-22,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,,,,,,
,,,,,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg
================================================================================,,,,,,,,,
GOPIS 30/04/2025,96.85,96.95,97.2,96.95,96.9,97,96.85,96.95,96.93
GOPIS 29/05/2025,100,100.1,100,100,100.1,100.1,100,100,100.03
GOPIS 24/06/2025,99.75,99.7,99.7,99.7,99.65,99.7,99.7,99.7,99.7
GOPISV-29-07-2025,99.9,99.9,100,99.95,100.1,100.1,99.8,99.85,99.95
GOPISF-29-07-2025,93.55,93.6,93.6,93.6,93.8,93.5,93.75,93.6,93.62
GOPISV-09-12-2025,99.75,99.8,99.8,99.75,99.5,99.5,99.8,99.75,99.73
GOPISF-20-01-2026,93.55,93.6,93.7,90.5,93.6,93.8,93.8,93.6,93.64
GOPISV-06-10-2026,99.7,99.8,99.8,99.75,99.8,99.7,99.75,99.75,99.76
GOPISF-06-10-2026,93.65,94,94,90.75,91,94,94,93.75,93.4
GOPISV-29-10-2026,99.7,99.9,99.5,99.8,99.9,99.8,99.9,99.85,99.83
GOPISF-15-12-2026,96,96,96,95,96,96.25,96,96,96
GOPISF-27-04-2027,98.85,98.8,98.7,98.75,98.75,99,98.7,98.7,98.76
GOPISV-27-04-2027,99.5,99.6,99.6,99.55,99.65,99.55,99.5,99.55,99.56
