10:08,4-Aug-22,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,,,,,,
,,,,,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg
================================================================================,,,,,,,,,
GOPIS30-04-2025,96.9,0,97,96.95,96.8,97,96.85,96.95,96.93
GOPIS29-05-2025,100,0,100,100,100.05,100.1,100,100,100.01
GOPIS24-06-2025,99.75,0,99.7,99.7,99.8,100.2,99.7,99.7,99.73
GOPISV-29-07-2025,99.9,0,100,99.95,100.05,100.1,99.8,99.85,99.95
GOPISF-29-07-2025,93.55,0,93.6,93.6,93.75,93.5,93.75,93.6,93.62
GOPISV-09-12-2025,99.75,0,99.8,99.75,99.55,99.5,99.8,99.75,99.72
GOPISF-20-01-2026,93.6,0,93.7,90.5,93.65,93.8,93.8,93.6,93.67
GOPISV-06-10-2026,99.7,0,99.8,99.75,99.7,99.7,99.75,99.75,99.73
GOPISF-06-10-2026,93.4,0,94,90.75,91,94,94,93.75,93.23
GOPISV-29-10-2026,99.75,0,99.5,100.1,100.1,99.8,99.9,99.85,99.88
GOPISF-15-12-2026,96,0,96,95,96,96.25,96,96,96
GOPISF-27-04-2027,98.8,0,98.7,98.75,98.7,99,98.7,98.7,98.73
GOPISV-27-04-2027,99.5,0,99.6,99.55,99.6,99.55,99.5,99.55,99.55
